;Agriculture, Авторы,Идентификаторы авторов,Ссылка,Ключевые слова автора,Ключевые слова указателя;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Savelyev A.,""57192936912";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908239043&doi=10.1016%2fj.clsr.2014.05.011&partnerID=40&md5=51140f1f98c6ec34725b8ded03fc0a5a"",""Software as a service Software copyright Software licensing Application service provider"",""Copyright law"; Software licensing;" Software-as-a-Service""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Mamatova N.,""56563116300";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925247998&partnerID=40&md5=03aaf140a6fc4452baf9d365ca2170ea"",""Econometric analysis"; Electricity consumption;" Impulse-response analysis"",""Energy utilization"; Impulse response; Regression analysis; Social networking (online); Value engineering; Econometric analysis; Economic factors; Electricity industry; Electricity-consumption; Exogenous shocks; Impulse response analysis; Industrial enterprise; Vector autoregressions;" Image analysis""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Egorov V.S.,""55661061500";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961313170&doi=10.3103%2fS0147688214040108&partnerID=40&md5=0cf2b7a667606552825bf045adddfd14"",""bibliographic database"; bibliographic manager; DOI identifier; electronic document; reference;" search for scientific literature"",""Bibliographies"; Information services; Bibliographic database; DOI identifier; Electronic document; reference; Scientific literature;" Bibliographic retrieval systems""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Apresjan V.Yu.,""55965625400";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904795520&partnerID=40&md5=9b10d2f3dfbda3f4d623809469f0577a"",""Combinatory properties"; Favorite lexemes; Frequency; Grammaticalization; Idiomatization; Non-standard construction; Syntactic phraseme;" Valency"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Karpov V.,""54926527800";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892434219&doi=10.1016%2fj.bica.2013.11.004&partnerID=40&md5=b6223164799a802b272f5a3219ff3e30"",""Emotions"; Robot;" Temperament"",""Biologically inspired mechanisms"; Changing environment; Cognitive architectures; Complex environments; Emotions; Mobile autonomous robots; Robot architecture; Temperament; Robotics;" Robots""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Gnatyshak D.V.,""55420752100";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902278658&doi=10.1016%2fj.procs.2014.05.367&partnerID=40&md5=5530c0115fbeae602b133ec3e80fd05b"",""Data mining"; Formal concept analysis;" Triclustering"",""Algorithms"; Data mining; Information analysis; Noise tolerance; Original algorithms; Post-processing techniques; Time complexity; Triclustering;" Formal concept analysis""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Dobrushina N.R.,""54972405500";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904817614&partnerID=40&md5=13bc428965a4637c1ce3f642eb165b64"",""Conditional clauses"; Modality; Mood;" Subjunctive"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Tedeev A.,""56042621000";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910672288&partnerID=40&md5=ef4e004d589954a12a0ac3ca64f53775"",""Digital age"; Electronic (virtual) company; Information technology; Labour legislation; Post-Socialist countries; Taxation problems; Telework;" Workplace revolution"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Neznanov A.A., Parinov A.A.,""55329014600";56202397200;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921735360&partnerID=40&md5=e912391e8453c62fd6e7b221667c1e5c"",""Data analysis"; Formal concept analysis; Knowledge extraction; Software;" Text mining"",""Computer software"; Data mining; Data reduction; Digital storage; Information analysis; Artificial intelligence; Data access; Data snapshot; Heterogeneous data sources; Integrated environment; Knowledge extraction; Research tools; Text mining; Unstructured data;" Formal concept analysis""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Styrin E., Dmitrieva N.,""53865533400";56158034600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945978983&doi=10.1145%2f2729104.2729116&partnerID=40&md5=25909f3b9f9a48f88c146102e1e51b5e"",""Assessment Model"; Open Government; Open Government Tools;" Transparency"",""Computer programming"; Assessment models; Effectiveness assessment; Evaluation modeling; Evolutionary approach; Future trends; Open Government; Self assessment;" Transparency""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Gromoff A., Stavenko Y., Evina K., Kazantsev N.,""49663292500";55351417500;53866444300;36237354600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901376122&doi=10.1007%2f978-3-662-43454-3_26&partnerID=40&md5=810c394947fe05c35ba7ca6fb405a1ff"",""ad-hoc"; business process management; communication network; contact net; ECM; enterprise content; innovation; networking; S-BPM; semi structured information;" subject-oriented approach"",""E-learning"; Enterprise resource management; Industry; Innovation; Military electronic countermeasures; Telecommunication networks; ad-hoc; Business process management; Contact nets; networking; S-BPM; Semi-structured information; Subject-oriented;" Information management""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Chernyak E., Mirkin B.,""55973447100";35428028600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902295587&doi=10.1016%2fj.procs.2014.05.260&partnerID=40&md5=363b56e25f41d9118ec8c6e8452d70f0"",""String-to-text relevance"; Suffix trees; Taxonomy refinement;" Utilizing Wikipedia"",""Forestry"; Numerical methods; Statistics; Taxonomies; Educational materials; Intermediate level; Probability theory; String-to-text relevance; Suffix-trees; Two-step approach; Wikipedia; Wikipedia articles;" Trees (mathematics)""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Belenky A.S., Yunusova A.I.,""7006969623";56458678800;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919674259&doi=10.1109%2fISCC-C.2013.75&partnerID=40&md5=f4334dbc8095bdfb1073d3a4da1e7075"",""coalitions"; competitiveness; equilibrium; games; polyhedron; quadratic optimization problems; railroad company;" transportation tariffs"",""Commerce"; Competition; Geometry; Mathematical models; Optimization; Phase equilibria; Quadratic programming; Railroad transportation; Railroads; coalitions; competitiveness; games; polyhedron; Quadratic optimization problems; Railroad company;" Freight transportation""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Bazhanov K., Obiedkov S.,""55674081100";7801637737;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898543257&doi=10.1007%2fs10472-013-9353-y&partnerID=40&md5=cbca8bb79d5c2b7e4189750787a45d9b"",""Algorithms"; Duquenne-Guigues basis; Formal Concept Analysis; Horn formulae; Implications;" LinClosure"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Razorenov A.A., Fomichov V.A.,""56202182700";6602185149;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902249341&doi=10.1016%2fj.procs.2014.05.353&partnerID=40&md5=7b0d8af3d4b0ba0365e67c33f6c456bf"",""Action-based applications"; Natural language interface; Natural language processing; Semantic representation; SK-languages; Structured meaning;" Theory of K-representations"",""Application programs"; Computational linguistics; Graphical user interfaces; Knowledge representation; Semantics; User interfaces; Natural language interfaces; NAtural language processing; Semantic representation; Structured meanings; Theory of K-representations;" Natural language processing systems""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Fomichov V.A., Razorenov A.A.,""6602185149";56202182700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958552584&doi=10.1007%2f978-3-319-07983-7_12&partnerID=40&md5=693d5d22d3aa3df94c1a1ef3c0b36c99"",""action-based application"; algorithm of semantic-syntactic analysis; Haskell; Natural Language Commander; natural language processing; semantic representation; SK-languages; text meaning representation;" theory of K-representations"",""Algorithms"; Functional programming; Information systems; Semantics; Syntactics; Haskell; NAtural language processing; Natural languages; Semantic representation; SK-languages; text meaning representation; theory of K-representations;" Natural language processing systems""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Fomichov V.A.,""6602185149";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958552865&doi=10.1007%2f978-3-319-10073-9_33&partnerID=40&md5=28661a28cfc456e9b3bda6cb213e08a3"",""algorithm of semantic-syntactic analysis"; bioinformatics; multilingual semantic web; natural language processing; semantic representation; structured meaning;" theory of K-representations"",""Bioinformatics"; Knowledge representation; Natural language processing systems; Semantics; Syntactics; Multilingual semantic webs; NAtural language processing; Semantic representation; Structured meanings; theory of K-representations;" Expert systems""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Chistyakov V.V.,""7005793389";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902261390&doi=10.1016%2fj.procs.2014.05.356&partnerID=40&md5=600d0a6c91414095033038ee0d386aa3"",""Axiomatics"; Borda's rule; Enumerating preference function; Indifference; Preference order; Superposition;" Threshold rule"",""Computers"; Axiomatics; Borda's rule; Indifference; Preference functions; Preference order; Superposition; Threshold rule;" Excavators""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Komarov M.M.,""6603888073";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920546151&doi=10.1109%2fSOCA.2014.32&partnerID=40&md5=f88f865da0dadea6b0576c401333f4d6"",""fingerprinting"; interference; k-NN algorithm; LQI; positioning; reflection; RSSI;" WSN"",""Algorithms"; Distributed computer systems; Interactive computer systems; Median filters; Mobile devices; Pattern recognition; Real time systems; Reflection; Wave interference; Wireless sensor networks; fingerprinting; k-NN algorithm; LQI; positioning; RSSI; WSN;" Indoor positioning systems""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Akopov A.S.,""47561181900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905371925&doi=10.1504%2fIJCAT.2014.062368&partnerID=40&md5=66edd3123d86b4d434564d0c5d2501bf"",""Multi-objective optimisation"; Oil company; Parallel genetic algorithm; Pareto-front;" System dynamics"",""Algorithms"; Multiobjective optimization; Oil shale; Shareholders; Dynamical interactions; Investment projects; Oil companies; Parallel genetic algorithms; Pareto-front; Particular solution; Shareholder values; System Dynamics;" Genetic algorithms""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Batsyn M., Ponomarenko A.,""37111907600";55345834600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902259869&doi=10.1016%2fj.procs.2014.05.328&partnerID=40&md5=ec69ad91b1fa8f3c7b5116536bd4bd9c"",""Greedy insertion"; Multi-start heuristic; Real-life problem;" Truck and trailer routing problem"",""Fleet operations"; Integer programming; Retail stores; Truck trailers; Trucks; Warehouses; Computational experiment; Greedy heuristics; Greedy insertion; Heterogeneous fleet; Mixed integer linear programming; Multistart; Real-life problems; Truck and trailer routing problems;" Truck transportation""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
